station,lon,lat,dif_prct,z50_tg,z50_gos
ACoruna,-8.39,43.36,8.91453770074914,0.683654056753877,0.622709458121852
Aarhus,10.2167,56.150002,14.5937332387916,1.75944476527052,1.50267608974305
Abashiri,144.283,44.017,11.3141931823497,0.632768017896717,0.561175421955757
Aberdeen,-2.080222,57.144028,9.80110111614242,1.50146368208256,1.35430370837949
Aburatsu,131.417,31.567,27.4202830307576,0.849609915247932,0.616644471829569
Adak Alaska,-176.635,51.858,0.68109782830544,0.687914251104686,0.683228882079809
Almeria,-2.48,36.83,15.531131096914,0.458962284436643,0.387680250355397
Ancona,13.50651667,43.62476667,22.3837352708287,0.955239010080068,0.741420838860061
Andenes,16.15,69.317,11.3958541930552,1.00732977653517,0.892535943957997
Apia,-171.75,-13.817,40.1135654257106,0.238060837245315,0.142566147543921
Arica,-70.3233333333333,-18.4758333333333,80.8820753190473,0.664779448580891,0.127092034274147
Atlantic City,-74.418,39.355,9.57268134011157,1.56802348793286,1.41792159609495
Balboa,-79.573,8.962,64.0712186582563,0.914529967991036,0.328579472504219
Baltra,-90.285,-0.435,70.3695784542274,0.358845568322568,0.1063274545923
Bamfield,-125.133,48.833,27.742271786892,1.18371266119249,0.855323877548617
Barcelona,2.163,41.342,32.1019316184653,0.67292563261639,0.456903506190751
Benoa,115.21,-8.745,81.0708846776819,0.619900006461819,0.117341587106215
Bilbao,-3.05,43.357,11.0937446540395,0.601487090117725,0.534759648213053
Bluff,168.333,-46.6,-5.1212562470226,0.677901738259038,0.712618823378304
Bonanza,-6.34,36.8,47.3947782028863,1.05492623704996,0.554946286796079
Booby Island,141.917,-10.6,-11.1746449065452,1.30226721797515,1.44779095531822
Brest,-4.5,48.383,2.32020474711219,1.19299323593363,1.16531335024077
Brisbane,153.167,-27.367,51.9772318892862,0.621979707791289,0.298691872768306
Broome,122.217,-18,17.8945165253726,0.733584412239308,0.602313028363588
Bundaberg,152.35,-24.833,34.3361655107062,0.642163206539067,0.421668985092955
Cabo San Lucas,-109.908,22.88,49.2687617279991,0.433197731447899,0.219766573329736
Calais,1.86772001,50.9693985,26.9703070341554,1.98423886958921,1.44908355416994
Callao,-77.15,-12.05,71.1201051312615,0.3966603000108,0.114555077629142
Cape Town,18.417,-33.9,31.332756241503,0.605962735856718,0.41609790891639
Carnarvon,113.617,-24.883,28.4723018258495,0.852835374211665,0.610013512388507
Castletownbere,-9.18299999999999,51.533,5.09667556765027,1.00757316362238,0.95622042836584
Catania,15.093825,37.49808056,15.9855665515538,0.408249515377321,0.342988517400284
Charleston SC,-79.933,32.783,16.485807718339,1.21916470136653,1.01817555292938
Cherbourg,-1.635508,49.651447,-7.42500147827542,1.08165636540554,1.16196936652676
Chittagong,91.827,22.237,13.6658034427024,2.10953751472027,1.82125226440853
Churchill,-94.2,58.783,21.8793180431113,1.57123710015588,1.22746113780142
Colombo,79.858,6.963,69.7263584155482,0.341841392853915,0.103487838059892
Coquimbo,-71.3352777777778,-29.9497222222222,55.8680408807946,0.340849109638865,0.150423389723999
Crescent City,-124.183,41.745,54.8323842958034,1.07018847418362,0.483378617329862
Cristobal,-79.9,9.35,61.6474075296483,0.263266704081039,0.100969606126328
Cromer,1.301639,52.934194,21.2630099523772,2.6467959481359,2.08400746226465
Cuxhaven,8.717,53.867,30.0198881149709,4.76308831791195,3.33321453405754
Dakar,-17.4200000000001,14.677,71.336964739439,0.326402775485236,0.0935569426287829
Darwin,130.85,-12.467,23.3159526204025,0.67893481025119,0.520634691569602
Davao,125.633,7.083,66.5778022463901,0.288578256454105,0.0964491955460102
Davis,77.967,-68.45,-8.18113973648309,0.692129425438939,0.748753500891416
Duck Pier,-75.74,36.183,32.724925802644,1.25424875981916,0.843796783787757
Dunkerque,2.366698,51.048091,23.1859407139813,2.50998844124602,1.92802400933093
Durban,31,-29.883,43.6909860425233,0.505334833951467,0.284549062181723
Dutch Harbor,-166.538,53.88,12.2468195553558,0.724812136866719,0.636045702349333
East London,27.917,-33,58.5147175028368,0.796690081281854,0.330509130846657
El Hierro,-17.9,27.78,3.04736064162216,0.253460320984838,0.245736470921017
Esperance,121.9,-33.867,22.7800195990211,0.884655919972722,0.683131128019035
Faraday,-64.267,-65.25,13.1173390133728,0.682798299913222,0.593233332136059
Ferrol,-8.33,43.46,16.2419828379359,0.743462511674514,0.622709458121852
Fort Denison,151.233,-33.85,18.2376666501723,0.440076263559867,0.359816621605285
Fort Pulaski,-80.902,32.033,34.3294846805375,1.64459707371133,1.08001537323503
Fort de France,-61.067,14.6,38.526828649414,0.239807449463146,0.14741724431995
Fremantle,115.733,-32.05,50.0710146276914,0.956580639541602,0.477611007591063
Funchal,-16.9069999999999,32.64,72.5315885893485,1.21178259996921,0.33285742996223
Galveston Pier 21,-94.793,29.31,2.30570177497282,1.34010180484288,1.30920305374217
Galveston Pier,-94.788,29.285,18.1858207181309,1.60021534804091,1.30920305374217
Gandia,-0.15,39,29.1791929656806,0.59907903194385,0.424272605196023
Genova,8.92551667,44.41012778,20.3059780896616,0.592923186723181,0.472524334338649
Gijon,-5.7,43.56,1.15656142846002,0.618702130480369,0.611546460282173
Gomera,-17.11,28.09,1.48841210527891,0.239765103388526,0.236196410565457
Goteborgorsh,11.8,57.683,11.2132664254875,1.44048706132425,1.27896140931329
Guam,144.65,13.433,39.9849372873012,0.393771606990921,0.236322276880403
Hakodate,140.733,41.783,11.3167947956184,0.599559049290301,0.531708182003557
Halifax,-63.583,44.667,19.3493442904445,1.23861342846135,0.998949851760681
Hamada,132.067,34.9,28.8605693404148,0.663549859997713,0.472045592544847
Helgeroa,9.856379,58.995212,12.9239535551303,1.38098549576566,1.20250757168982
Helgoland,7.889923,54.178909,24.2154342001146,3.39909597949791,2.57599012918385
Hilo Hawaii,-155.067,19.733,39.933274382771,0.265345856794539,0.159384567737461
Hong Kong,114.217,22.3,31.6876166116223,1.32812833012415,0.907276116764066
Honiara,159.957,-9.425,69.3604217588243,0.30048666720681,0.0920678475031316
Honningsvag,25.983,70.983,12.7162886624657,0.958567705567914,0.836673469102723
