lon,lat,time,Ampl
72.75,-69.0622787475586,8,0.283334116981748
72.75,18.4240283966064,7,0.244312317374893
72.75,18.6610488891602,7,0.2763532615144
72.75,18.897741317749,7,0.291744539450294
72.75,19.1340980529785,7,0.301127994214333
72.75,19.3701171875,7,0.318121784268015
72.75,20.3107452392578,8,0.441833655738664
72.75,20.5450210571289,7,0.479350246547437
72.75,20.778923034668,7,0.539951426157798
72.75,21.012414932251,7,0.580172203219018
73,-69.1514358520508,8,0.280890588362592
73,17.2340850830078,7,0.172028076931967
73,17.4727058410645,7,0.19330093935652
73,17.7110137939453,7,0.211128708283267
73,17.9490070343018,7,0.23271694348601
73,18.1866779327393,7,0.253340098275968
73.25,-69.240234375,8,0.279080818792534
73.25,-53.1625823974609,7,0.0736635398772308
73.25,16.0364284515381,7,0.108115646800816
73.25,16.276554107666,7,0.118816178778857
73.25,16.5163860321045,8,0.132361106465803
73.25,16.7559223175049,8,0.157901842737609
73.25,16.9951572418213,7,0.169217617237892
73.5,-69.3286666870117,8,0.277639525477851
73.5,-53.3122062683105,7,0.0661625619354088
73.5,-53.0124320983887,8,0.0796029816634969
73.5,15.7960119247437,7,0.118858760834701
73.75,-69.5044479370117,8,0.286071003645777
73.75,-69.4167327880859,8,0.254639419830075
73.75,-53.1625823974609,8,0.0761631680568155
73.75,15.0730667114258,7,0.101363591025481
73.75,15.3143272399902,7,0.120045359808079
73.75,15.5553112030029,7,0.138240128693296
74,-69.6788024902344,8,0.291209764498899
74,-69.5918045043945,8,0.284953026586196
74,14.8315315246582,7,0.120114978844659
74.25,-69.6788024902344,8,0.2893009511719
74.25,14.1053228378296,6,0.0984680822454127
74.25,14.3476552963257,6,0.110592869084337
74.25,14.5897264480591,7,0.124484513678892
74.5,-69.6788024902344,8,0.288700007970385
74.5,13.3767938613892,6,0.0713523379991376
74.5,13.6198883056641,6,0.0848618701330598
74.5,13.8627319335938,6,0.100251451633969
74.75,-69.6788024902344,8,0.288662095315891
