station,lon,lat,series_id,series_name
Galveston Pier,-94.788,29.285,serie_1,Galveston Pier
Key West FL,-81.808,24.553,serie_2,Key West FL
Newport,-71.327,41.505,serie_3,Newport
Virginia Key,-80.162,25.732,serie_4,Virginia Key
