station,lon,lat,mu_ann_tg,mu_ann_gos,mu_semi_tg,mu_semi_gos,psi_ann_tg,psi_ann_gos,psi_semi_tg,psi_semi_gos
Genova,8.92551667,44.41012778,0.0482914650906276,0.0453391175759233,NaN,0.0114610675361242,0.0214735174002305,0.0285262437138453,NaN,NaN
Gijon,-5.7,43.56,0.0844903162050244,0.0581408079484496,0.0287034074198953,0.0329794806778518,0.0231516646577411,0.0378964617473901,NaN,NaN
Gomera,-17.11,28.09,0.0195851258888704,0.0088844785760336,0.0255849874727544,0.00718882757326256,0.0089696055224575,0.0141083206433261,NaN,NaN
Goteborgorsh,11.8,57.683,0.182045087042559,0.164474620637742,0.0390066824619693,NaN,0.0720774280084861,0.0684476619858889,NaN,NaN
Guam,144.65,13.433,0.0601426788941181,0.0102777322619584,0.00840801681212639,0.00325042562643725,NaN,0.00344149874479129,NaN,NaN
Hakodate,140.733,41.783,0.036475856217834,0.0213227379236579,0.024002069277704,0.00936370701234292,0.0118424487348943,NaN,NaN,0.010822005314691
Halifax,-63.583,44.667,0.199807975004996,0.143313507083838,0.0180280687617753,NaN,0.0456396070761197,0.0276042456504593,NaN,NaN
Hamada,132.067,34.9,0.0904082104965251,0.0616261648804158,0.0614262918899204,0.0118155054752516,0.0147666014706601,NaN,NaN,NaN
Helgeroa,9.856379,58.995212,0.189651493305609,0.15770458666897,0.0368681201433569,NaN,0.0750392240170166,0.064956817638515,NaN,NaN
Helgoland,7.889923,54.178909,0.427782052738628,0.360490147050883,0.0602887105200335,NaN,0.153455635811873,0.144545234647015,NaN,NaN
Hilo Hawaii,-155.067,19.733,0.0177467145520657,0.0119169714771371,0.0249384048470567,0.0053332952545026,NaN,0.00477084418829624,NaN,NaN
