station,lon,lat,Period,Amplit.
Point_1,72.75,-67.4898834228516,11.9999084479641,1.04262439594918
Point_2,72.75,-64.2225189208984,11.9999084479641,0.823433974806186
Point_3,72.75,-60.5178337097168,11.9999084479641,0.722787809759878
Point_4,72.75,-56.3349456787109,11.9999084479641,0.709666165821525
Point_5,72.75,-51.6374168395996,11.9999084479641,0.775023549548327
Point_6,72.75,-46.3974609375,11.9999084479641,0.832656387522948
Point_7,72.75,-40.6013488769531,11.9999084479641,0.806891905830653
Point_8,72.75,-34.255500793457,11.9999084479641,0.847744484955507
Point_9,72.75,-27.392578125,11.9999084479641,0.898355867911917
Point_10,72.75,-20.0761108398438,11.9999084479641,0.912737131152678
Point_11,72.75,-12.4020042419434,11.9999084479641,0.843575028508443
Point_12,72.75,-4.49538087844849,11.9999084479641,0.619908616922165
Point_13,72.75,3.49782538414001,11.9999084479641,0.480398346277959
Point_14,72.75,11.4235544204712,11.9999084479641,0.793399946885836
Point_15,72.75,19.1340980529785,11.9999084479641,3.16258592742083
Point_16,80.75,-67.4898834228516,11.9999084479641,1.13477193339736
Point_17,80.75,-64.2225189208984,11.9999084479641,0.94708402482297
Point_18,80.75,-60.5178337097168,11.9999084479641,0.828094417023223
Point_19,80.75,-56.3349456787109,11.9999084479641,0.812429933229614
Point_20,80.75,-51.6374168395996,11.9999084479641,0.847776818557629
Point_21,80.75,-46.3974609375,11.9999084479641,0.871455929172423
Point_22,80.75,-40.6013488769531,11.9999084479641,0.897650569903017
Point_23,80.75,-34.255500793457,11.9999084479641,0.933133139872546
Point_24,80.75,-27.392578125,11.9999084479641,0.953416786397636
Point_25,80.75,-20.0761108398438,11.9999084479641,0.939380685645533
Point_26,80.75,-12.4020042419434,11.9999084479641,0.867827466441198
Point_27,80.75,-4.49538087844849,11.9999084479641,0.673483075432825
Point_28,80.75,3.49782538414001,11.9999084479641,0.366611968335781
Point_29,80.75,11.4235544204712,11.9999084479641,0.469469022250856
Point_30,88.75,-64.2225189208984,11.9999084479641,1.00880656204889
Point_31,88.75,-60.5178337097168,11.9999084479641,0.853542543756379
Point_32,88.75,-56.3349456787109,11.9999084479641,0.774558696010811
Point_33,88.75,-51.6374168395996,11.9999084479641,0.761070678983353
Point_34,88.75,-46.3974609375,11.9999084479641,0.788494969441481
Point_35,88.75,-40.6013488769531,11.9999084479641,0.820028817127415
Point_36,88.75,-34.255500793457,11.9999084479641,0.835004340018424
Point_37,88.75,-27.392578125,11.9999084479641,0.787338332308812
Point_38,88.75,-20.0761108398438,11.9999084479641,0.746825941537951
Point_39,88.75,-12.4020042419434,11.9999084479641,0.694372343043322
Point_40,88.75,-4.49538087844849,11.9999084479641,0.535902776171661
Point_41,88.75,3.49782538414001,11.9999084479641,0.166120561387264
Point_42,88.75,11.4235544204712,11.9999084479641,0.629861455269836
Point_43,88.75,19.1340980529785,11.9999084479641,1.03551360340875
Point_44,96.75,-64.2225189208984,11.9999084479641,1.06299436298824
Point_45,96.75,-60.5178337097168,11.9999084479641,0.798088843485892
Point_46,96.75,-56.3349456787109,11.9999084479641,0.672744751114607
Point_47,96.75,-51.6374168395996,11.9999084479641,0.62809291033707
Point_48,96.75,-46.3974609375,11.9999084479641,0.627246400610148
Point_49,96.75,-40.6013488769531,11.9999084479641,0.636443178480517
Point_50,96.75,-34.255500793457,11.9999084479641,0.616071759506368
Point_51,96.75,-27.392578125,11.9999084479641,0.489025868565447
Point_52,96.75,-20.0761108398438,11.9999084479641,0.446152028060793
Point_53,96.75,-12.4020042419434,11.9999084479641,0.492619513989272
Point_54,96.75,-4.49538087844849,11.9999084479641,0.473461709357266
Point_55,96.75,3.49782538414001,11.9999084479641,0.291839491893319
Point_56,96.75,11.4235544204712,11.9999084479641,1.38644649946892
Point_57,104.75,-64.2225189208984,11.9999084479641,0.936847718326052
Point_58,104.75,-60.5178337097168,11.9999084479641,0.685723983052193
Point_59,104.75,-56.3349456787109,11.9999084479641,0.523558060925097
Point_60,104.75,-51.6374168395996,11.9999084479641,0.440312306509872
Point_61,104.75,-46.3974609375,11.9999084479641,0.421431000328807
Point_62,104.75,-40.6013488769531,11.9999084479641,0.421636138509159
Point_63,104.75,-34.255500793457,11.9999084479641,0.359403403337609
Point_64,104.75,-27.392578125,11.9999084479641,0.182177702509177
Point_65,104.75,-20.0761108398438,11.9999084479641,0.384355113537908
Point_66,104.75,-12.4020042419434,11.9999084479641,0.652966069643149
Point_67,104.75,3.49782538414001,23.9992676004761,0.403527574918387
Point_68,112.75,-64.2225189208984,11.9999084479641,0.863376224181962
Point_69,112.75,-60.5178337097168,11.9999084479641,0.585831565254864
Point_70,112.75,-56.3349456787109,11.9999084479641,0.381566024792007
Point_71,112.75,-51.6374168395996,242.613604812587,0.301477702527099
Point_72,112.75,-46.3974609375,1254.27751196172,0.219293257192694
Point_73,112.75,-40.6013488769531,685.343790849673,0.250682075136546
Point_74,112.75,-34.255500793457,11.9999084479641,0.21713737602955
Point_75,112.75,-27.392578125,24.0003662165255,0.220222050997679
Point_76,112.75,-20.0761108398438,11.9999084479641,0.938117497613426
Point_77,112.75,-12.4020042419434,11.9999084479641,1.45816082047545
Point_78,112.75,-4.49538087844849,11.9999084479641,1.38818839765314
Point_79,112.75,3.49782538414001,11.9999084479641,0.488036758462198
Point_80,112.75,11.4235544204712,11.9999084479641,0.319216110059233
Point_81,112.75,19.1340980529785,11.9999084479641,0.3193186098341
Point_82,120.75,-64.2225189208984,11.9999084479641,0.83565226137185
Point_83,120.75,-60.5178337097168,11.9999084479641,0.554276677632017
Point_84,120.75,-56.3349456787109,1260.30769230769,0.353884516120473
Point_85,120.75,-51.6374168395996,242.838351088467,0.294623125191287
Point_86,120.75,-46.3974609375,242.950880444856,0.312288608255293
Point_87,120.75,-40.6013488769531,1147.23851203501,0.272613550223608
Point_88,120.75,-34.255500793457,24.0003662165255,0.272770636132676
Point_89,120.75,-12.4020042419434,11.9999084479641,2.28206087599676
Point_90,120.75,-4.49538087844849,11.9999084479641,0.727493869451252
Point_91,120.75,3.49782538414001,11.9999084479641,1.27632720958029
Point_92,120.75,11.4235544204712,11.9999084479641,0.968117568838074
Point_93,120.75,19.1340980529785,11.9999084479641,0.284324595775665
Point_94,120.747512817383,26.461030960083,11.9999084479641,1.76382714099439
Point_95,120.505897521973,38.8091735839844,11.9999084479641,1.20218085354897
Point_96,128.75,-64.2225189208984,11.9999084479641,0.888950047494949
Point_97,128.75,-60.5178337097168,11.9999084479641,0.621388434569283
Point_98,128.75,-56.3349456787109,11.9999084479641,0.412279442919999
Point_99,128.75,-51.6374168395996,11.9999084479641,0.275178051526102
Point_100,128.75,-46.3974609375,661.145018915511,0.237326645084395
Point_101,128.75,-40.6013488769531,242.950880444856,0.280076235625597
Point_102,128.75,-34.255500793457,11.9999084479641,0.29144570767779
Point_103,128.75,-12.4020042419434,11.9999084479641,1.44086860293388
Point_104,128.75,-4.49538087844849,11.9999084479641,0.838970721959602
Point_105,128.75,3.49782538414001,11.9999084479641,0.938578880761754
Point_106,128.75,11.4235544204712,11.9999084479641,0.94930948421547
Point_107,128.75,19.1340980529785,11.9999084479641,0.869097752728988
Point_108,128.74755859375,26.4713497161865,11.9999084479641,0.882713948838269
Point_109,128.701110839844,33.1700782775879,11.9999084479641,2.02840888538871
Point_110,128.505096435547,39.088924407959,11.9999084479641,0.168887674650896
Point_111,81.9960784912109,72.1455993652344,740.519774011299,0.630820907138977
Point_112,136.75,-64.2225189208984,11.9999084479641,0.999464663146042
Point_113,136.75,-60.5178337097168,11.9999084479641,0.734450123984656
Point_114,136.75,-56.3349456787109,11.9999084479641,0.56206089027575
Point_115,136.75,-51.6374168395996,11.9999084479641,0.447231472227251
Point_116,136.75,-46.3974609375,11.9999084479641,0.39141122768746
Point_117,136.75,-40.6013488769531,11.9999084479641,0.394360518804723
Point_118,136.75,-34.255500793457,24.0003662165255,1.04566305280393
Point_119,136.75,3.49782538414001,11.9999084479641,0.837626201666635
Point_120,136.75,11.4235544204712,11.9999084479641,0.793143193543051
Point_121,136.75,19.1340980529785,11.9999084479641,0.692107640423154
Point_122,136.747772216797,26.4811000823975,11.9999084479641,0.620782102133158
Point_123,136.704803466797,33.2555503845215,11.9999084479641,0.668167773410323
Point_124,136.520797729492,39.3503684997559,11.9999084479641,0.150771334225906
Point_125,84.5833206176758,75.6818008422852,1078.78189300412,0.381484796972941
Point_126,144.75,-64.2225189208984,11.9999084479641,1.06744363840541
Point_127,144.75,-60.5178337097168,11.9999084479641,0.859298284540906
Point_128,144.75,-56.3349456787109,11.9999084479641,0.713649827379432
Point_129,144.75,-51.6374168395996,11.9999084479641,0.604519946397169
Point_130,144.75,-46.3974609375,11.9999084479641,0.496818598246432
Point_131,144.75,-40.6013488769531,11.9999084479641,0.460227710677967
Point_132,144.75,-12.4020042419434,11.9999084479641,2.59022910255234
Point_133,144.75,3.49782538414001,11.9999084479641,0.497897778274081
Point_134,144.75,11.4235544204712,11.9999084479641,0.378233615351524
Point_135,144.75,19.1340980529785,11.9999084479641,0.244755762451216
Point_136,144.748107910156,26.4896869659424,11.9999084479641,0.13671456009537
Point_137,144.711380004883,33.3305702209473,11.9999084479641,0.300862823331448
Point_138,144.552261352539,39.5782356262207,11.9999084479641,0.514752377936809
