lon,lat,phi0
72.75,-69.0622787475586,-0.11505944
72.75,18.4240283966064,0.06171891
72.75,18.6610488891602,0.07876364
72.75,18.897741317749,0.06711758
72.75,19.1340980529785,0.04937381
72.75,19.3701171875,0.02715935
72.75,20.3107452392578,0.07288668
72.75,20.5450210571289,0.07430802
72.75,20.778923034668,0.09183139
72.75,21.012414932251,0.10073021
73,-69.1514358520508,-0.11590964
73,17.2340850830078,0.0799751
73,17.4727058410645,0.08797432
73,17.7110137939453,0.07072906
73,17.9490070343018,0.07475887
73,18.1866779327393,0.05921922
73.25,-69.240234375,-0.11705976
73.25,-53.1625823974609,-0.17921145
73.25,16.0364284515381,0.07040375
73.25,16.276554107666,0.08610764
73.25,16.5163860321045,0.08217701
73.25,16.7559223175049,0.08048844
73.25,16.9951572418213,0.07121715
73.5,-69.3286666870117,-0.11803822
73.5,-53.3122062683105,-0.18813026
73.5,-53.0124320983887,-0.21728895
73.5,15.7960119247437,0.07954454
73.75,-69.5044479370117,-0.12372174
73.75,-69.4167327880859,-0.11626969
73.75,-53.1625823974609,-0.18198617
73.75,15.0730667114258,0.05242215
73.75,15.3143272399902,0.06746363
73.75,15.5553112030029,0.08212212
74,-69.6788024902344,-0.12036704
74,-69.5918045043945,-0.12469428
74,14.8315315246582,0.06282172
74.25,-69.6788024902344,-0.12133443
74.25,14.1053228378296,0.06064621
74.25,14.3476552963257,0.08160652
74.25,14.5897264480591,0.08615837
74.5,-69.6788024902344,-0.121598
74.5,13.3767938613892,-0.02092517
74.5,13.6198883056641,-0.00586575
74.5,13.8627319335938,0.03105583
74.75,-69.6788024902344,-0.12114584
74.75,12.6460552215576,-0.01339447
74.75,12.8898735046387,-0.01682237
74.75,13.1334543228149,-0.02641461
75,-69.6788024902344,-0.11969369
75,-69.5918045043945,-0.12293513
75,12.1577243804932,-0.03217494
75,12.4020042419434,-0.01302752
75.25,-69.5044479370117,-0.12439081
75.25,11.9132204055786,-0.05360127
75.5,-69.5044479370117,-0.11741573
75.5,11.4235544204712,-0.05630721
75.5,11.6684951782227,-0.06970678
75.75,-69.5044479370117,-0.11418573
75.75,-69.4167327880859,-0.11833201
75.75,10.687479019165,-0.06578725
75.75,10.9330415725708,-0.06366055
75.75,11.1784019470215,-0.05316443
76,-69.3286666870117,-0.1231084
76,9.94961357116699,-0.07755327
76,10.1957597732544,-0.07386819
76,10.4417161941528,-0.07279347
76.25,-69.3286666870117,-0.1219028
76.25,9.21007823944092,-0.12626214
76.25,9.45676803588867,-0.090989
76.25,9.70328140258789,-0.0687307
76.5,-69.3286666870117,-0.12017156
76.5,8.71618556976318,-0.13223156
76.5,8.96321582794189,-0.14986145
76.75,-69.240234375,-0.12585791
76.75,8.46899127960205,-0.14387956
77,-69.1514358520508,-0.12658227
77,8.22163867950439,-0.1461458
77.25,-69.1514358520508,-0.12536831
77.25,7.97413206100464,-0.13730659
