r,g,b
0.271117586206897,0.539813793103448,0.989138275862069
0.234294482758621,0.626835517241379,0.992703103448276
0.175367931034483,0.712550344827586,0.943306551724138
0.119744482758621,0.791870344827586,0.862285862068966
0.0928424137931034,0.859686551724138,0.771006896551724
0.119698620689655,0.911571379310345,0.687283448275862
0.20541,0.951928275862069,0.585485172413793
0.327875517241379,0.981084827586207,0.469665862068965
0.463260344827586,0.996915517241379,0.35774724137931
0.587747931034483,0.997285517241379,0.267651034482759
0.683872413793104,0.979725517241379,0.216390344827586
0.772859310344827,0.942725172413793,0.203103103448276
0.854242068965517,0.890031034482759,0.211493103448276
0.921866206896552,0.825905517241379,0.224874482758621
0.969580344827586,0.75461275862069,0.226542413793103
0.992931724137931,0.675459310344828,0.203973793103448
0.995432068965517,0.579469310344828,0.165799310344828
0.979865172413793,0.475732413793104,0.121011379310345
0.948710344827586,0.374656551724138,0.077978275862069
0.904431724137931,0.286659310344828,0.0450658620689655
0.847857931034483,0.215385517241379,0.0251975862068966
0.777119310344828,0.152802413793103,0.01192
0.692163448275862,0.0986779310344827,0.0050503448275862
0.592988275862069,0.0530217241379311,0.00459827586206896
0.4796,0.01583,0.01055
