lon,lat,Period,Amplit.
72.75,-69.0622787475586,11.99991,0.533680325859768
72.75,18.4240283966064,11.99991,1.12343691111734
72.75,18.6610488891602,11.99991,1.22985500584759
72.75,18.897741317749,11.99991,1.33860316582976
72.75,19.1340980529785,11.99991,1.44694689262138
72.75,19.3701171875,11.99991,1.52910973043463
72.75,20.3107452392578,11.99991,1.40226116856446
72.75,20.5450210571289,11.99991,1.32302531447188
72.75,20.778923034668,11.99991,1.25102206522553
72.75,21.012414932251,11.99991,1.30565084674794
73,-69.1514358520508,11.99991,0.535699765419273
73,17.2340850830078,11.99991,0.73854948150333
73,17.4727058410645,11.99991,0.806670759722041
73,17.7110137939453,11.99991,0.90006961414467
73,17.9490070343018,11.99991,1.01126985993376
73,18.1866779327393,11.99991,1.0996879086076
73.25,-69.240234375,11.99991,0.537497257221954
73.25,-53.1625823974609,11.99991,0.328381956494396
73.25,16.0364284515381,11.99991,0.552511261401869
73.25,16.276554107666,11.99991,0.58406101786968
73.25,16.5163860321045,11.99991,0.625288665414932
73.25,16.7559223175049,11.99991,0.669603813547857
73.25,16.9951572418213,11.99991,0.711107715598475
73.5,-69.3286666870117,11.99991,0.539125448426132
73.5,-53.3122062683105,11.99991,0.353715752706674
73.5,-53.0124320983887,11.99991,0.345752224901928
73.5,15.7960119247437,11.99991,0.54937115624658
73.75,-69.5044479370117,11.99991,0.541859904093601
73.75,-69.4167327880859,11.99991,0.54084785871703
73.75,-53.1625823974609,11.99991,0.376889883586265
73.75,15.0730667114258,11.99991,0.530903441056797
73.75,15.3143272399902,11.99991,0.548853397863417
73.75,15.5553112030029,11.99991,0.570192234476484
74,-69.6788024902344,11.99991,0.543713682139008
74,-69.5918045043945,11.99991,0.542978877837656
74,14.8315315246582,11.99991,0.541351890957234
74.25,-69.6788024902344,11.99991,0.54383867600428
74.25,14.1053228378296,11.99991,0.52461568875126
74.25,14.3476552963257,11.99991,0.541885020216403
74.25,14.5897264480591,11.99991,0.55967102617656
74.5,-69.6788024902344,11.99991,0.544172601585117
74.5,13.3767938613892,11.99991,0.478111875339592
74.5,13.6198883056641,11.99991,0.504046076970512
74.5,13.8627319335938,11.99991,0.526007473155025
74.75,-69.6788024902344,11.99991,0.544552301329966
74.75,12.6460552215576,11.99991,0.418440654568457
74.75,12.8898735046387,11.99991,0.44580211422987
74.75,13.1334543228149,11.99991,0.475052541004967
75,-69.6788024902344,11.99991,0.545023367150493
75,-69.5918045043945,11.99991,0.544437672006951
75,12.1577243804932,11.99991,0.39727569155842
75,12.4020042419434,11.99991,0.416790963326942
75.25,-69.5044479370117,11.99991,0.544488106005858
75.25,11.9132204055786,11.99991,0.395712800813047
75.5,-69.5044479370117,11.99991,0.545987134782149
75.5,11.4235544204712,11.99991,0.37623351429722
75.5,11.6684951782227,11.99991,0.39510122505891
75.75,-69.5044479370117,11.99991,0.549219770746511
75.75,-69.4167327880859,11.99991,0.546193208021004
75.75,10.687479019165,11.99991,0.342977123714644
75.75,10.9330415725708,11.99991,0.359175986692649
75.75,11.1784019470215,11.99991,0.376658929085201
76,-69.3286666870117,11.99991,0.544678990914502
76,9.94961357116699,11.99991,0.323387631269391
76,10.1957597732544,11.99991,0.334489547034799
76,10.4417161941528,11.99991,0.347500008618208
76.25,-69.3286666870117,11.99991,0.545243154995498
76.25,9.21007823944092,11.99991,0.291996904125913
76.25,9.45676803588867,11.99991,0.310152032591466
76.25,9.70328140258789,11.99991,0.327719580465571
76.5,-69.3286666870117,11.99991,0.545918168255136
76.5,8.71618556976318,11.99991,0.261570349190761
76.5,8.96321582794189,11.99991,0.277814157408696
76.75,-69.240234375,11.99991,0.545943369780732
76.75,8.46899127960205,11.99991,0.25373906946869
77,-69.1514358520508,11.99991,0.54451591301685
77,8.22163867950439,11.99991,0.244645082534275
77.25,-69.1514358520508,11.99991,0.54463308560582
77.25,7.97413206100464,11.99991,0.227686416860704
77.5,-69.1514358520508,11.99991,0.544743478400657
77.5,7.97413206100464,11.99991,0.221304853201877
77.75,-69.0622787475586,11.99991,0.544541032544817
77.75,-68.9727630615234,11.99991,0.544266900495147
77.75,-68.8828735351562,11.99991,0.544193663302164
77.75,-68.7926254272461,11.99991,0.543422457702421
77.75,-68.7020034790039,11.99991,0.542686437872133
77.75,-68.6110153198242,11.99991,0.541899148841868
77.75,-68.5196533203125,11.99991,0.540384762398865
77.75,7.97413206100464,11.99991,0.215721471033575
78,-68.4279251098633,11.99991,0.540681702041491
78,8.22163867950439,11.99991,0.216743965591582
78.25,-68.3358154296875,11.99991,0.540511477444542
78.25,8.46899127960205,11.99991,0.215628558391682
78.25,8.71618556976318,11.99991,0.221817849461787
78.5,-68.3358154296875,11.99991,0.543182684298745
78.5,8.96321582794189,11.99991,0.219801613099188
78.75,-68.2433395385742,11.99991,0.538538622404671
78.75,-68.1504821777344,11.99991,0.535436622389204
78.75,8.96321582794189,11.99991,0.215146298160991
79,-68.0572509765625,11.99991,0.531898873941507
79,9.21007823944092,11.99991,0.217465640450287
79,9.45676803588867,11.99991,0.254663732963073
79.25,-68.0572509765625,11.99991,0.532210081545615
79.25,9.70328140258789,11.99991,0.237060238539099
79.25,9.94961357116699,11.99991,0.215301844254308
79.5,-67.9636459350586,11.99991,0.528565698461005
79.5,10.1957597732544,24.00037,0.132796536925781
79.75,-67.9636459350586,11.99991,0.528651152117503
79.75,6.48610210418701,11.99991,0.185842937062494
79.75,6.73443984985352,11.99991,0.191190385625232
79.75,6.98265075683594,11.99991,0.195177327179169
79.75,7.2307300567627,11.99991,0.1986163940336
79.75,7.47867298126221,11.99991,0.201180008675187
79.75,7.72647523880005,11.99991,0.203774944503397
79.75,7.97413206100464,11.99991,0.206012224877124
79.75,8.22163867950439,11.99991,0.208416653351195
79.75,8.46899127960205,11.99991,0.211574031241049
79.75,8.71618556976318,11.99991,0.215964302658423
79.75,8.96321582794189,11.99991,0.240768126108689
79.75,9.70328140258789,11.99991,0.218580495163154
79.75,10.1957597732544,24.00037,0.0864488298905314
