station,lon,lat,series_id,series_name
Chittagong,91.827,22.237,serie_1,Chittagong
Hong Kong,114.217,22.3,serie_2,Hong Kong
Ishigake,124.15,24.333,serie_3,Ishigake
Kaohsiung,120.282,22.615,serie_4,Kaohsiung
