station,lon,lat
Point_1,72.75,-67.4898834228516
Point_2,72.75,-64.2225189208984
Point_3,72.75,-60.5178337097168
Point_4,72.75,-56.3349456787109
Point_5,72.75,-51.6374168395996
Point_6,72.75,-46.3974609375
Point_7,72.75,-40.6013488769531
Point_8,72.75,-34.255500793457
Point_9,72.75,-27.392578125
Point_10,72.75,-20.0761108398438
Point_11,72.75,-12.4020042419434
Point_12,72.75,-4.49538087844849
Point_13,72.75,3.49782538414001
Point_14,72.75,11.4235544204712
Point_15,72.75,19.1340980529785
Point_16,80.75,-67.4898834228516
Point_17,80.75,-64.2225189208984
Point_18,80.75,-60.5178337097168
Point_19,80.75,-56.3349456787109
Point_20,80.75,-51.6374168395996
Point_21,80.75,-46.3974609375
Point_22,80.75,-40.6013488769531
Point_23,80.75,-34.255500793457
Point_24,80.75,-27.392578125
Point_25,80.75,-20.0761108398438
Point_26,80.75,-12.4020042419434
Point_27,80.75,-4.49538087844849
Point_28,80.75,3.49782538414001
Point_29,80.75,11.4235544204712
Point_30,88.75,-64.2225189208984
Point_31,88.75,-60.5178337097168
Point_32,88.75,-56.3349456787109
Point_33,88.75,-51.6374168395996
Point_34,88.75,-46.3974609375
Point_35,88.75,-40.6013488769531
Point_36,88.75,-34.255500793457
Point_37,88.75,-27.392578125
Point_38,88.75,-20.0761108398438
Point_39,88.75,-12.4020042419434
Point_40,88.75,-4.49538087844849
Point_41,88.75,3.49782538414001
Point_42,88.75,11.4235544204712
Point_43,88.75,19.1340980529785
Point_44,96.75,-64.2225189208984
Point_45,96.75,-60.5178337097168
Point_46,96.75,-56.3349456787109
Point_47,96.75,-51.6374168395996
Point_48,96.75,-46.3974609375
Point_49,96.75,-40.6013488769531
Point_50,96.75,-34.255500793457
Point_51,96.75,-27.392578125
Point_52,96.75,-20.0761108398438
Point_53,96.75,-12.4020042419434
Point_54,96.75,-4.49538087844849
Point_55,96.75,3.49782538414001
Point_56,96.75,11.4235544204712
Point_57,104.75,-64.2225189208984
Point_58,104.75,-60.5178337097168
Point_59,104.75,-56.3349456787109
Point_60,104.75,-51.6374168395996
Point_61,104.75,-46.3974609375
Point_62,104.75,-40.6013488769531
Point_63,104.75,-34.255500793457
Point_64,104.75,-27.392578125
Point_65,104.75,-20.0761108398438
Point_66,104.75,-12.4020042419434
Point_67,104.75,3.49782538414001
Point_68,112.75,-64.2225189208984
Point_69,112.75,-60.5178337097168
Point_70,112.75,-56.3349456787109
Point_71,112.75,-51.6374168395996
Point_72,112.75,-46.3974609375
Point_73,112.75,-40.6013488769531
Point_74,112.75,-34.255500793457
Point_75,112.75,-27.392578125
Point_76,112.75,-20.0761108398438
Point_77,112.75,-12.4020042419434
Point_78,112.75,-4.49538087844849
Point_79,112.75,3.49782538414001
Point_80,112.75,11.4235544204712
Point_81,112.75,19.1340980529785
Point_82,120.75,-64.2225189208984
Point_83,120.75,-60.5178337097168
Point_84,120.75,-56.3349456787109
Point_85,120.75,-51.6374168395996
Point_86,120.75,-46.3974609375
Point_87,120.75,-40.6013488769531
Point_88,120.75,-34.255500793457
Point_89,120.75,-12.4020042419434
Point_90,120.75,-4.49538087844849
Point_91,120.75,3.49782538414001
Point_92,120.75,11.4235544204712
Point_93,120.75,19.1340980529785
Point_94,120.747512817383,26.461030960083
Point_95,120.505897521973,38.8091735839844
Point_96,128.75,-64.2225189208984
Point_97,128.75,-60.5178337097168
Point_98,128.75,-56.3349456787109
Point_99,128.75,-51.6374168395996
Point_100,128.75,-46.3974609375
Point_101,128.75,-40.6013488769531
Point_102,128.75,-34.255500793457
Point_103,128.75,-12.4020042419434
Point_104,128.75,-4.49538087844849
Point_105,128.75,3.49782538414001
Point_106,128.75,11.4235544204712
Point_107,128.75,19.1340980529785
Point_108,128.74755859375,26.4713497161865
Point_109,128.701110839844,33.1700782775879
