time,serie_1,serie_2,serie_3,serie_4,serie_5
01-Jan-2013 00:00:00,0.398073578887749,0.0294965983045715,0.101292483606567,0.502075571662442,0.525762053403682
01-Jan-2013 01:00:00,0.416439289861488,0.0218866926295179,0.418653216310968,0.549554485923306,0.529718073282069
01-Jan-2013 02:00:00,0.447302932554054,0.0167143542928117,0.682511683651438,0.555156547671811,0.501773568067378
01-Jan-2013 03:00:00,0.454174781852531,0.0780125551534313,0.855565067478647,0.526987273341672,0.481874736223048
01-Jan-2013 04:00:00,0.429418141656685,0.140519739375772,0.927825030037393,0.484697479850308,0.442877503309077
01-Jan-2013 05:00:00,0.376671070867348,0.208909035907449,0.89534729356431,0.415212322122113,0.391838642034358
01-Jan-2013 06:00:00,0.312280918174553,0.279506937847795,0.776384946056833,0.360994268304364,0.366773875627345
01-Jan-2013 07:00:00,0.245411614590454,0.270772562609376,0.617217656322946,0.35850026095535,0.338573845300502
01-Jan-2013 08:00:00,0.177036697679329,0.211196468458833,0.46144112581872,0.355307031518475,0.3156063875292
01-Jan-2013 09:00:00,0.135727102571297,0.118834943757715,0.335075970837107,0.35343896234657,0.304956289205378
01-Jan-2013 10:00:00,0.138538176828194,-0.0514133188264948,0.260791685530176,0.401349801665799,0.308312507543391
01-Jan-2013 11:00:00,0.162393863015938,-0.190315781845389,0.249060433455934,0.484201926833645,0.319461198720759
01-Jan-2013 12:00:00,0.190487826877403,-0.249882011427222,0.307977434345713,0.582499105578915,0.312656911287135
01-Jan-2013 13:00:00,0.221682469063568,-0.24789017321044,0.432414200254908,0.732058126575009,0.294155450734919
01-Jan-2013 14:00:00,0.248055214696693,-0.206222443594275,0.553758498379221,0.903478700763241,0.293184312257594
01-Jan-2013 15:00:00,0.254104341083336,-0.10824997605258,0.602606888958444,0.995445210582272,0.28106734362585
01-Jan-2013 16:00:00,0.247667903714943,0.0082308065754789,0.55587637061738,0.988648492938534,0.243755551252192
01-Jan-2013 17:00:00,0.244760716968346,0.025692329989137,0.427088704058161,0.913618702537076,0.213339956674403
01-Jan-2013 18:00:00,0.209634015970993,0.0467132891205567,0.246053319522371,0.785926062709347,0.206555100354975
01-Jan-2013 19:00:00,0.133261318021583,0.0817880046231168,0.0353022744927608,0.634820181972043,0.188302757415599
01-Jan-2013 20:00:00,0.0541824015613078,-0.00423623876148285,-0.1683772838626,0.467624921447293,0.183967204961604
01-Jan-2013 21:00:00,-0.0226428651426555,-0.126916809691725,-0.304423812678824,0.313603241092221,0.212902488384074
01-Jan-2013 22:00:00,-0.0764601429168703,-0.193566321148215,-0.331083182147513,0.248424012309567,0.214783342752284
01-Jan-2013 23:00:00,-0.0918970157567979,-0.267127751125632,-0.261496636918554,0.302422959453122,0.223439755115336
02-Jan-2013 00:00:00,-0.0973427866761209,-0.334524540914832,-0.114144895127783,0.435927350169675,0.229892077121562
02-Jan-2013 01:00:00,-0.0907802556817056,-0.328198282732306,0.0712452159311675,0.605284292346493,0.220413180265254
02-Jan-2013 02:00:00,-0.0750538234774591,-0.275613873018561,0.252432014891138,0.775923807269589,0.203222902688807
02-Jan-2013 03:00:00,-0.069425781554413,-0.239946721805869,0.395008560368051,0.900340993052975,0.165534975204295
02-Jan-2013 04:00:00,-0.0743457128469469,-0.148967384113608,0.451776053854456,0.899432499057309,0.131583007249659
02-Jan-2013 05:00:00,-0.0812144180004121,-0.0110604676740748,0.393701072880258,0.741360742694394,0.0892146250341594
02-Jan-2013 06:00:00,-0.0903938760225297,0.0416830426690596,0.238032784410944,0.489769358283536,0.0742931684587657
02-Jan-2013 07:00:00,-0.130096649116707,-0.00329807282858909,0.0383351092275285,0.206555534249798,0.0681629797552288
02-Jan-2013 08:00:00,-0.183618535584641,-0.0404901939766985,-0.153845507553587,-0.0513952224490484,0.0487625619505107
02-Jan-2013 09:00:00,-0.197735910600853,-0.0949862885611635,-0.302073929360876,-0.223907079452022,0.0497471710775554
02-Jan-2013 10:00:00,-0.191279237455559,-0.228757290853797,-0.384170774272451,-0.270194005125507,0.0678824802969158
02-Jan-2013 11:00:00,-0.165478443092537,-0.301092802299796,-0.393029544404516,-0.197876106852039,0.0953550955389202
02-Jan-2013 12:00:00,-0.103963469452095,-0.335070310844718,-0.331415835670004,-0.0562827567545017,0.0913040658567607
02-Jan-2013 13:00:00,-0.0421068047348977,-0.353416262878714,-0.209120813659201,0.110713366514699,0.106962593469447
02-Jan-2013 14:00:00,0.0137107499699472,-0.292885421528159,-0.0677430069956876,0.27706526601936,0.120145918998545
02-Jan-2013 15:00:00,0.0599529879923342,-0.169090567840872,0.025291266017785,0.397890079862134,0.101952942285365
02-Jan-2013 16:00:00,0.0790233115489958,-0.0651755172150713,0.0303513101350569,0.441325176602856,0.10954457727415
02-Jan-2013 17:00:00,0.0809529150660513,-0.0111867401140314,-0.0455762482199765,0.390900392180936,0.103472711715525
02-Jan-2013 18:00:00,0.0769968504841803,0.0630324890514332,-0.184778351238737,0.229529578334347,0.0883522054289043
02-Jan-2013 19:00:00,0.0733243326480864,0.0584473561172801,-0.357929978421698,0.00231106588865915,0.0878388604257762
02-Jan-2013 20:00:00,0.0788606579239844,-0.0169744554298502,-0.516709510138998,-0.209116976612552,0.116507472667521
02-Jan-2013 21:00:00,0.0825209195549964,-0.0775255698102099,-0.620081905177603,-0.357600580805286,0.159439625415629
02-Jan-2013 22:00:00,0.0912922198708533,-0.176919772042571,-0.622331920913229,-0.419050227755054,0.185587199601954
02-Jan-2013 23:00:00,0.115514616184997,-0.269471197141944,-0.503431025794516,-0.367827217930301,0.226768912944621
03-Jan-2013 00:00:00,0.160659174137878,-0.295497744097052,-0.29302579527236,-0.195004802101596,0.276468815479106
03-Jan-2013 01:00:00,0.23449874919014,-0.300830184234915,-0.034354697814951,0.0509870835604826,0.308890791807002
03-Jan-2013 02:00:00,0.322087938600349,-0.28856280328208,0.219230275699129,0.330071289187924,0.31073305216772
03-Jan-2013 03:00:00,0.405504847579765,-0.211499898447333,0.398428317257395,0.587374825126187,0.299147339734858
03-Jan-2013 04:00:00,0.456190700345802,-0.115236847414313,0.480009909817209,0.716267306453244,0.268953027400798
03-Jan-2013 05:00:00,0.453662092500496,-0.057177236987887,0.482048746296396,0.695783097392575,0.244663479003733
03-Jan-2013 06:00:00,0.423086072021294,0.0131013032657522,0.419297780939569,0.609577793723599,0.249926181707209
03-Jan-2013 07:00:00,0.375751192384529,0.0474514758822936,0.311810311027994,0.472416002398984,0.249639781389064
03-Jan-2013 08:00:00,0.303226704412269,-0.0215775060790163,0.200802933522692,0.267544735318677,0.231162550124949
03-Jan-2013 09:00:00,0.23202439647274,-0.119598715318976,0.12210125858449,0.0845302232566039,0.197411002788371
03-Jan-2013 10:00:00,0.189530963712501,-0.202822922481833,0.0860500336673163,0.0344204270305792,0.177136810693568
