time,serie_1,serie_2,serie_3,serie_4
2018-01-01 00:00:00,-0.0221258404139224,0.0629773157944707,-0.067817312269777,-0.0622935263772655
2018-01-01 01:00:00,-0.0421752104243059,0.0857191550841359,-0.0593477306657731,-0.0605838341971088
2018-01-01 02:00:00,-0.103200408973338,0.106871562015059,-0.0527180922919213,-0.0526893033047366
2018-01-01 03:00:00,-0.234855073847415,0.116762252460959,-0.0644599614435136,-0.045420457269733
2018-01-01 04:00:00,-0.319400641479136,0.115821869980338,-0.0878127408915459,-0.0507857768197703
2018-01-01 05:00:00,-0.299815449275615,0.127191843401435,-0.107494060485929,-0.058482479896133
2018-01-01 06:00:00,-0.197136926808001,0.13103300512934,-0.127945375233263,-0.0695124609728503
2018-01-01 07:00:00,-0.119236233987452,0.112867416750434,-0.132791366963953,-0.0814828394313502
2018-01-01 08:00:00,-0.0850923986812849,0.0900391656270055,-0.126963731437296,-0.0844264669676471
2018-01-01 09:00:00,-0.0211553386119921,0.0786721873393086,-0.110823374777406,-0.0828203900118518
2018-01-01 10:00:00,0.0563750235656481,0.0500370580067662,-0.0827876521044671,-0.0756216241379428
2018-01-01 11:00:00,0.0792174680451136,0.0172021928539303,-0.0604089280360638,-0.0658316953440356
2018-01-01 12:00:00,0.0327527789691668,0.0162878874053982,-0.0473404755586087,-0.0611045180221248
2018-01-01 13:00:00,-0.0362761350055952,0.0484965461602238,-0.0490519074493348,-0.0610201476474452
2018-01-01 14:00:00,-0.104590933181884,0.0802781003823308,-0.0587679302090108,-0.0639939574857402
2018-01-01 15:00:00,-0.127860146917941,0.100489096652511,-0.0756603149467408,-0.0708842767735171
2018-01-01 16:00:00,-0.118087250151278,0.127566428791526,-0.100748565583795,-0.0802624715824771
2018-01-01 17:00:00,-0.141150134958865,0.117882119428161,-0.120506156771749,-0.0882833121677089
2018-01-01 18:00:00,-0.142918604769351,0.0743006485810307,-0.131332796602815,-0.0908204509277988
2018-01-01 19:00:00,-0.0944806145211477,0.0393957513680485,-0.133584928303331,-0.0911325110455203
2018-01-01 20:00:00,-0.0227240697071683,0.00224232853555953,-0.126838233857721,-0.091650095429008
2018-01-01 21:00:00,0.0863096608141642,-0.00240708707666124,-0.116644923179716,-0.091575142588203
2018-01-01 22:00:00,0.120973524294255,0.0126242134084729,-0.0999863264852464,-0.0887147007842708
2018-01-01 23:00:00,0.0575108794788104,0.0258579421153096,-0.0801394996934831,-0.0801145701070476
2018-01-02 00:00:00,0.0073380681047421,0.0455227214207677,-0.0690084067874848,-0.0759544639249492
2018-01-02 01:00:00,-0.0341176869055051,0.0616055744996098,-0.0640440402322709,-0.0738641737361598
2018-01-02 02:00:00,-0.0763259226163644,0.0668194759001759,-0.0634139222794473,-0.0695525003929782
2018-01-02 03:00:00,-0.171865138568522,0.0667423921933201,-0.0749818054729401,-0.0661343081255603
2018-01-02 04:00:00,-0.262618544854762,0.0811214465012578,-0.103032466559976,-0.0703561498184848
2018-01-02 05:00:00,-0.200465175666453,0.0839278417935399,-0.13141360559997,-0.0854993431230235
2018-01-02 06:00:00,-0.0619209887167234,0.0770452785601643,-0.146232914715379,-0.0938288165589023
2018-01-02 07:00:00,0.0403088076332789,0.0764469224324254,-0.143907379894823,-0.0894657342096019
2018-01-02 08:00:00,0.0669864831784945,0.0575001853814152,-0.128236141591638,-0.0847700206895518
2018-01-02 09:00:00,0.067625661037324,0.0411813575139073,-0.109490205138296,-0.0804201854725528
2018-01-02 10:00:00,0.123260778031705,0.0326102542986897,-0.0854861778908669,-0.0750920070667911
2018-01-02 11:00:00,0.167718660674451,0.0264012533535985,-0.0607788754397332,-0.0645387588401485
2018-01-02 12:00:00,0.130279373965619,0.0402288007845906,-0.0427949210399091,-0.0474458081980395
2018-01-02 13:00:00,0.0102528972843867,0.0599232483019856,-0.0341539164775311,-0.0347759468813586
2018-01-02 14:00:00,-0.10266035363877,0.0732914972414998,-0.0393349682682454,-0.0320143482049155
2018-01-02 15:00:00,-0.142439651646258,0.0857032704463032,-0.0598665555709302,-0.0396151585837054
2018-01-02 16:00:00,-0.17053306416476,0.103664593707564,-0.0831833077364861,-0.0472738562484431
2018-01-02 17:00:00,-0.184985134162547,0.122370915423873,-0.0998391328149735,-0.0535326494236636
2018-01-02 18:00:00,-0.145601365127208,0.10127406002188,-0.113882382004827,-0.0608211649914432
2018-01-02 19:00:00,-0.0618425527294893,0.0551453846802739,-0.122891974239916,-0.0651809541841197
2018-01-02 20:00:00,0.0315775318363886,0.0256564635148076,-0.118450340419382,-0.0682679904957462
2018-01-02 21:00:00,0.0901226966003161,0.00653943599367415,-0.102739435225099,-0.0648378847499538
2018-01-02 22:00:00,0.121482235036252,-0.00982741086578096,-0.0843760786348283,-0.0590130208392787
2018-01-02 23:00:00,0.143039014778493,-0.00992591499185289,-0.0675455150896012,-0.0560602737923312
2018-01-03 00:00:00,0.101857122621892,0.0218304711689976,-0.0581168798500001,-0.0567848725577045
2018-01-03 01:00:00,-0.018546324566545,0.0460319835057286,-0.056795336841911,-0.0539580105205226
2018-01-03 02:00:00,-0.124646696605327,0.0687819141259221,-0.0645023477965295,-0.0509390352626491
2018-01-03 03:00:00,-0.202942046680095,0.0845125633587865,-0.0837632311278283,-0.0595473839302707
2018-01-03 04:00:00,-0.280822697438838,0.0684628653636006,-0.10817493924436,-0.0675044922490764
2018-01-03 05:00:00,-0.318692121066691,0.0440842527260808,-0.132081922679514,-0.0785031883378673
2018-01-03 06:00:00,-0.277736666955592,0.0100901368370084,-0.155219119577974,-0.091245253231113
2018-01-03 07:00:00,-0.14344394520724,-0.00992188422774995,-0.163161423593134,-0.101005901243274
2018-01-03 08:00:00,0.00452920108234696,-0.0267169979104968,-0.151653554826349,-0.106344093229358
2018-01-03 09:00:00,0.0620980752924662,-0.0453450401017639,-0.133838382154077,-0.106035594489162
2018-01-03 10:00:00,0.0637587501028758,-0.0583551582584354,-0.10651688703832,-0.0998462332745242
2018-01-03 11:00:00,0.0707133231977206,-0.0509176497051688,-0.0829445613318383,-0.084373031403606
2018-01-03 12:00:00,0.0598376138428431,-0.0320942234883281,-0.0720144180351197,-0.0764376266260791
2018-01-03 13:00:00,0.0115395231465083,-0.0282329153904887,-0.0671416414671838,-0.0745524583717036
2018-01-03 14:00:00,-0.0425807734658737,-0.00413569628095353,-0.0764420373135506,-0.0751517383714366
2018-01-03 15:00:00,-0.0981620730539579,0.0205077248921422,-0.0917051328116357,-0.0779403714795757
2018-01-03 16:00:00,-0.157229113735797,0.0265990364661244,-0.104634587257475,-0.073534299280231
2018-01-03 17:00:00,-0.238597425975444,0.0121904927601842,-0.118932348280519,-0.0760599492450404
2018-01-03 18:00:00,-0.294991883792521,-0.000397494126317149,-0.135187086253732,-0.085303437556808
2018-01-03 19:00:00,-0.254507634200694,0.00915495486164367,-0.139699828415483,-0.0898111803789783
2018-01-03 20:00:00,-0.163935858168246,-0.00649016915654863,-0.122950662463278,-0.0850956483145404
2018-01-03 21:00:00,-0.096507522620799,-0.0223159325013133,-0.101593655138582,-0.071122598495071
2018-01-03 22:00:00,-0.0982186825653333,-0.019962130177972,-0.0738045094304978,-0.0583821056743312
2018-01-03 23:00:00,-0.117844189860465,-0.0127523597965213,-0.0491730836921632,-0.0465414939780879
2018-01-04 00:00:00,-0.107353221037032,0.0248143839945821,-0.0379077350490987,-0.0444159811695266
2018-01-04 01:00:00,-0.156193080701472,0.0518173444380788,-0.0278649000221192,-0.0424284344871688
2018-01-04 02:00:00,-0.239565301098468,0.0708835142960576,-0.0253276793056428,-0.0298293723126102
2018-01-04 03:00:00,-0.296792242087962,0.0927078890910176,-0.0390852471583783,-0.0263043536205936
2018-01-04 04:00:00,-0.320900324144008,0.0919606405606297,-0.0622873348885476,-0.0359908683558154
2018-01-04 05:00:00,-0.282694074668529,0.0802943277468709,-0.0853432906561791,-0.0520110322495151
2018-01-04 06:00:00,-0.212630394258143,0.0685836243739155,-0.101511721103758,-0.0711814506312061
2018-01-04 07:00:00,-0.135915416636111,0.0554660576691655,-0.102471206873029,-0.0832060767670322
2018-01-04 08:00:00,-0.0807821260472555,0.017125913809779,-0.089843702107042,-0.0838622792025256
2018-01-04 09:00:00,-0.076448212720992,-0.0170823988208743,-0.0684204889231622,-0.07755873784024
2018-01-04 10:00:00,-0.0620385849555749,-0.0216669496784183,-0.0451219161742627,-0.0693209363480258
2018-01-04 11:00:00,-0.0358733268162031,-0.0068685468921634,-0.0235012234890162,-0.062172998334949
2018-01-04 12:00:00,-0.0589772456964273,0.0119887980928448,-0.0111822305017411,-0.0549583105703044
2018-01-04 13:00:00,-0.151255104102733,0.0300312060227421,-0.00493470679533475,-0.0518017752428699
2018-01-04 14:00:00,-0.248029890813472,0.0488271284213093,-0.0014230500211268,-0.0499247057696033
2018-01-04 15:00:00,-0.260790008463504,0.0644361245741872,-0.00918363926497095,-0.0479679299851108
2018-01-04 16:00:00,-0.223629373468997,0.0754557567944554,-0.0259643519067466,-0.0506809471507716
2018-01-04 17:00:00,-0.224908504047038,0.0692076850047139,-0.0481827860468327,-0.0570197074075389
2018-01-04 18:00:00,-0.243083495058658,0.0454171019902257,-0.0635748026662766,-0.061244365419929
2018-01-04 19:00:00,-0.159760359086635,0.0239900666584996,-0.0709507060938775,-0.0624572528858829
2018-01-04 20:00:00,-0.0168701297310907,0.0128667223563222,-0.0679574278884827,-0.0642800746818233
2018-01-04 21:00:00,0.0411685971835833,0.000633316051009053,-0.0551319015913903,-0.0629953636189151
2018-01-04 22:00:00,0.0299333377102595,-0.0032093432435962,-0.0356749711328446,-0.0550035057922053
2018-01-04 23:00:00,-0.0101321659689564,-0.00357452600097383,-0.0202042316788136,-0.0457620850165534
2018-01-05 00:00:00,-0.0501039916356821,0.0063220578541783,-0.0131010660671889,-0.0478415979405093
2018-01-05 01:00:00,-0.113438192166926,0.0209609884133366,-0.00680051704433554,-0.0486974163313556
2018-01-05 02:00:00,-0.198364573874118,0.0213369745125798,-0.0148546365791261,-0.0423716014583755
2018-01-05 03:00:00,-0.25902243272269,0.0126596260180501,-0.0335368929201066,-0.0460494278331447
2018-01-05 04:00:00,-0.292206201114299,0.0172948259224919,-0.0580176828199326,-0.0524741081853557
2018-01-05 05:00:00,-0.281149897136332,0.0266976225485829,-0.0844264594608247,-0.0622444717546153
2018-01-05 06:00:00,-0.232666883029582,0.00966029049063002,-0.098203171580404,-0.0725219069381404
2018-01-05 07:00:00,-0.150141078390719,-0.000335669208523875,-0.101520475535959,-0.0722682519217181
2018-01-05 08:00:00,-0.0618474254091997,-0.0069392678031894,-0.100421276479334,-0.0747530727048564
2018-01-05 09:00:00,-0.0137193467175383,-0.0228719246277782,-0.0907164035135209,-0.0757801724930453
2018-01-05 10:00:00,0.0555292560080271,-0.0343753304967853,-0.0669942019277512,-0.0690741060634303
2018-01-05 11:00:00,0.10909531696832,-0.0351667013654682,-0.0417992887788712,-0.056809131648128
2018-01-05 12:00:00,0.0617267458060961,-0.000882750440594798,-0.032686699717611,-0.0448283484538245
2018-01-05 13:00:00,-0.05664383933747,0.0351838040461568,-0.0365326223665177,-0.0417273832817721
2018-01-05 14:00:00,-0.183580431499125,0.0554796177258519,-0.0444305730753838,-0.0448632581492114
2018-01-05 15:00:00,-0.213489997543933,0.0870263594498662,-0.0533134905391633,-0.0463706186373878
2018-01-05 16:00:00,-0.162394884385707,0.105433033715728,-0.0676564318829476,-0.0407199157734561
2018-01-05 17:00:00,-0.157495919026973,0.100932018767836,-0.0823681173616349,-0.0412905408402133
2018-01-05 18:00:00,-0.166441190399768,0.102580504428389,-0.0951886294179856,-0.04472631647784
2018-01-05 19:00:00,-0.13087794498408,0.108146579872611,-0.10397812405166,-0.0488176836033511
2018-01-05 20:00:00,-0.0707618588289041,0.102830158483031,-0.100382309942812,-0.0534464462061572
2018-01-05 21:00:00,-0.0119372339626569,0.126343475591185,-0.0843852875524461,-0.0494442252774882
2018-01-05 22:00:00,0.0199734499970656,0.129255788337233,-0.0659820480042397,-0.0434854707081962
2018-01-05 23:00:00,0.0344585744956713,0.110133262287619,-0.0501434510343968,-0.035637233998363
2018-01-06 00:00:00,-0.000143437989594413,0.122342782031539,-0.0383035657697617,-0.0289110696275878
2018-01-06 01:00:00,-0.0999373675962705,0.133457155834678,-0.030585479527086,-0.0241728132923293
2018-01-06 02:00:00,-0.205899375834109,0.144470529567244,-0.0307483715706765,-0.0169946184714484
