station,period_1,period_2,period_3,period_4,period_5,period_6,period_7,period_8,period_9,period_10
Point_1,11.9999084479641,401.753256704981,699.050666666667,1208.03686635945,224.342319212666,333.941401273885,777.875370919881,621.931198102017,903.944827586207,637.044957472661
Point_2,11.9999084479641,699.050666666667,197.844528301887,204.321122369447,1149.75438596491,885.621621621622,903.944827586207,523.764235764236,401.753256704981,320.861689106487
Point_3,11.9999084479641,1416.99459459459,1361.78701298701,699.050666666667,197.844528301887,523.764235764236,748.982857142857,908.644714038128,905.506044905009,885.621621621622
Point_4,11.9999084479641,747.914407988588,1266.3961352657,688.041994750656,1416.99459459459,791.97583081571,790.781297134238,760.940493468795,789.590361445783,196.215568862275
Point_5,11.9999084479641,688.041994750656,558.942430703625,747.914407988588,793.17397881997,791.97583081571,1409.37634408602,790.781297134238,656.180225281602,515.524090462144
Point_6,11.9999084479641,655.36,1096.83682008368,1127.50107526882,654.541822721598,793.17397881997,288.704845814978,688.041994750656,897.753424657534,1239.45153664303
Point_7,11.9999084479641,653.725685785536,341.555700325733,1094.54697286013,654.541822721598,1239.45153664303,288.86391184573,1127.50107526882,256.752203721841,256.500978473581
Point_8,11.9999084479641,652.911581569116,341.778357235984,684.44908616188,187.045308597931,1197.00456621005,608.222737819025,992.969696969697,242.950880444856,1054.90543259557
Point_9,11.9999084479641,1416.99459459459,1059.16767676768,12.0001831082628,1057.03225806452,652.099502487562,1191.56363636364,184.803665844202,163.6354556804,375.833691756272
Point_10,11.9999084479641,1059.16767676768,12.0001831082628,1122.67237687366,1416.99459459459,432.938067712634,568.026002166847,127.53296035028,849.737439222042,1186.17194570136
Point_11,11.9999084479641,12.0001831082628,1057.03225806452,1054.90543259557,1122.67237687366,1059.16767676768,1052.78714859438,11.9673133987674,12.4206486460875,1061.31174089069
Point_12,11.9999084479641,24.0003662165255,12.0001831082628,1057.03225806452,1054.90543259557,1052.78714859438,1050.67735470942,239.400913242009,11.9673133987674,1125.08154506438
Point_13,11.9999084479641,24.0003662165255,1052.78714859438,1057.03225806452,1054.90543259557,24.0653630772055,1125.08154506438,1050.67735470942,1416.99459459459,232.191319751993
Point_14,11.9999084479641,24.0003662165255,1054.90543259557,24.0653630772055,12.4206486460875,12.0164103504389,1050.67735470942,1052.78714859438,1057.03225806452,1125.08154506438
Point_15,11.9999084479641,24.0003662165255,12.4206486460875,12.0164103504389,5.99995422398206,11.9670402410354,8.00733093041725,7.99268248063906,12.0001831082628,24.0653630772055
Point_16,11.9999084479641,732.245810055866,622.669833729216,1208.03686635945,466.86375779163,902.388984509466,699.050666666667,325.240694789082,93.6730391281043,93.9584229390681
Point_17,11.9999084479641,1269.46246973366,1149.75438596491,907.072664359862,905.506044905009,1094.54697286013,1096.83682008368,619.725768321513,1242.38862559242,1394.3829787234
Point_18,11.9999084479641,1266.3961352657,884.128161888701,173.54783184376,333.728835136855,96.5895357406043,688.041994750656,699.050666666667,221.498943810731,320.665443425076
Point_19,11.9999084479641,1263.34457831325,747.914407988588,196.289030325721,688.041994750656,585.142857142857,492.289201877934,979.977570093458,175.229946524064,217.366500829187
Point_20,11.9999084479641,1260.30769230769,558.347177848775,897.753424657534,656.180225281602,687.140235910878,1257.28537170264,746.849002849003,738.433802816901,515.524090462144
Point_21,11.9999084479641,865.161716171617,558.347177848775,655.36,1242.38862559242,1245.33966745843,257.003921568627,1358.25906735751,1254.27751196172,739.475317348378
Point_22,11.9999084479641,1194.27790432802,1242.38862559242,653.725685785536,395.689056603774,311.51990493167,387.214180206795,256.878000979912,794.375757575758,1197.00456621005
Point_23,11.9999084479641,1197.00456621005,1242.38862559242,1416.99459459459,1194.27790432802,1054.90543259557,1300.96277915633,1199.74370709382,601.938002296211,534.987755102041
Point_24,11.9999084479641,852.50081300813,1416.99459459459,652.911581569116,1059.16767676768,1057.03225806452,1194.27790432802,616.809411764706,617.535924617197,24.0003662165255
Point_25,11.9999084479641,24.0003662165255,1057.03225806452,1122.67237687366,316.790332326284,1416.99459459459,11.9673133987674,1054.90543259557,12.0001831082628,801.663608562691
Point_26,11.9999084479641,24.0003662165255,1122.67237687366,884.128161888701,1059.16767676768,1054.90543259557,1057.03225806452,11.9673133987674,1052.78714859438,568.642082429501
Point_27,11.9999084479641,24.0003662165255,12.0001831082628,1057.03225806452,1054.90543259557,1052.78714859438,884.128161888701,1059.16767676768,1125.08154506438,11.9673133987674
Point_28,11.9999084479641,24.0003662165255,1054.90543259557,1057.03225806452,884.128161888701,1050.67735470942,586.451901565996,845.625806451613,1052.78714859438,239.400913242009
Point_29,11.9999084479641,1054.90543259557,1050.67735470942,1057.03225806452,1048.576,12.4206486460875,1052.78714859438,1059.16767676768,23.9346267975348,884.128161888701
Point_30,11.9999084479641,1266.3961352657,688.041994750656,462.335097001764,1394.3829787234,1152.28131868132,235.212202781516,926.303886925795,621.194312796209,1050.67735470942
Point_31,11.9999084479641,364.088888888889,235.106726457399,269.973223480947,228.647187091147,228.746945898778,688.041994750656,196.289030325721,435.09377593361,291.757373400111
Point_32,11.9999084479641,311.705112960761,228.746945898778,228.94672489083,311.890541344438,228.647187091147,196.289030325721,235.106726457399,217.366500829187,196.362546816479
Point_33,11.9999084479641,242.838351088467,238.52957233849,235.42343960485,1260.30769230769,228.846791793976,229.046745303626,233.431878895815,239.838975297347,239.72930955647
Point_34,11.9999084479641,235.42343960485,239.838975297347,233.639928698752,242.613604812587,238.52957233849,238.421100500227,236.805781391147,244.879962634283,244.081936685289
Point_35,11.9999084479641,1194.27790432802,1245.33966745843,667.033078880407,253.769603097773,1297.74257425743,534.442405708461,654.541822721598,1260.30769230769,790.781297134238
Point_36,11.9999084479641,1197.00456621005,1304.19900497512,1199.74370709382,996.745247148289,1245.33966745843,946.368231046931,559.538954108858,1016.06201550388,617.535924617197
Point_37,11.9999084479641,24.0003662165255,1057.03225806452,1197.00456621005,1194.27790432802,852.50081300813,152.497963932519,946.368231046931,400.831804281346,414.129541864139
Point_38,11.9999084479641,24.0003662165255,1057.03225806452,1122.67237687366,1416.99459459459,996.745247148289,131.565370138018,128.691212567501,849.737439222042,851.116883116883
Point_39,11.9999084479641,24.0003662165255,1057.03225806452,1059.16767676768,885.621621621622,1122.67237687366,1054.90543259557,998.64380952381,720.175824175824,12.4206486460875
Point_40,11.9999084479641,24.0003662165255,1057.03225806452,884.128161888701,1054.90543259557,1052.78714859438,1122.67237687366,12.4206486460875,763.155749636099,1050.67735470942
Point_41,11.9999084479641,24.0003662165255,1057.03225806452,1054.90543259557,884.128161888701,1052.78714859438,1122.67237687366,845.625806451613,937.903398926655,239.400913242009
Point_42,11.9999084479641,24.0003662165255,1054.90543259557,12.0001831082628,1052.78714859438,1050.67735470942,12.4206486460875,11.9673133987674,882.639730639731,1057.03225806452
Point_43,11.9999084479641,1048.576,12.4206486460875,1050.67735470942,1052.78714859438,11.9673133987674,1202.49541284404,676.50064516129,1057.03225806452,12.0001831082628
Point_44,11.9999084479641,623.410225921522,1101.44537815126,316.21712907117,300.451575931232,926.303886925795,273.066666666667,287.596269884805,976.327746741155,119.80987202925
Point_45,11.9999084479641,1294.53827160494,462.335097001764,948.079566003617,196.362546816479,235.106726457399,228.647187091147,269.973223480947,244.651423238451,96.6073337018611
Point_46,11.9999084479641,228.846791793976,228.746945898778,242.838351088467,228.547515257193,235.317773788151,235.212202781516,196.289030325721,235.42343960485,222.816829579261
Point_47,11.9999084479641,235.42343960485,239.838975297347,238.52957233849,228.94672489083,239.72930955647,228.746945898778,235.317773788151,233.431878895815,242.838351088467
Point_48,11.9999084479641,378.001441961067,483.660516605166,1260.30769230769,1257.28537170264,491.366447985005,1254.27751196172,258.779861796644,398.395136778115,1248.30476190476
