station,lon,lat,MAE
Nice,7.285257,43.695508,4.67334952532268
Nishinoomote,130.995,30.732,12.8980733817887
Nome,-165.43,64.5,34.337420455209
North Shields,-1.4333301,55,18.0802983120414
Noumea,166.437,-22.25,12.1576764308264
Nuku alofa,-175.167,-21.133,13.4536951237302
Nylesund,11.933,78.933,4.59431743247724
Ofunato,141.717,39.067,9.35720471224185
Padang,100.367,-1,27.9263020954795
Papeete,-149.567,-17.525,20.2057479661866
Pensacola,-87.213,30.403,22.2865800507509
Ponta Delgada,-25.673,37.735,4.93222332823071
Port Bloc,-1.061555,45.56848,23.0833115051847
Port Elizabeth,25.63,-33.96,25.0346620848216
Port Hedland,118.567,-20.317,12.8476316582682
Port Louis,57.495,-20.155,15.0638171023914
Port Stanley,-57.933,-51.75,7.69957792197351
Port Vila,168.3,-17.767,11.2466973885578
Port aux basques,-59.133,47.567,17.6868476186108
Portland,141.613,-38.343,13.6003380782884
Prigi,111.733,-8.283,49.1452705899292
Prince Rupert,-130.333,54.317,1.26477754937044
Prudhoe Bay,-148.527,70.4,27.2044776962241
Qaqortoq,-46.033,60.717,8.43036328826325
Ravenna,12.28293611,44.492075,24.1384645174778
Reunion,55.293,-20.923,14.5759735652361
Reykjavik,-21.93989,64.150581,21.4793757791397
Richards Bay,32.083,-28.8,25.1492484405647
Rorvik,11.25,64.867,3.52460264808612
Sabang,95.333,5.833,35.4888038797005
Saipan,145.742,15.277,18.2532388359563
Salalah,54.007,16.935,21.5052651712747
Saldahna Bay,17.95,-33.017,15.1066489096134
Salvador,-38.517,-12.967,18.6067461727976
San Antonio,-71.6180555555555,-33.5816666666667,15.3613479869552
San Diego,-117.173,32.715,15.0067035999244
San Francisco,-122.465,37.807,23.2490661532407
San Juan PR,-66.117,18.46,11.4977937121101
Sand Point,-160.502,55.337,7.84372542308735
Santa Cruz,-90.312,-0.753,13.5135485187094
Santander,-3.79,43.46,11.6396078627301
Seward,-149.427,60.12,13.9616498791864
Simons Town,18.433,-34.183,7.83951364114952
Sitka,-135.342,57.052,3.03310965544499
Smogen,11.215,58.35,19.0603351622979
South Beach,-124.043,44.625,37.220131172437
Spring Bay,147.933,-42.55,5.40656482687889
St Johns,-52.717,47.567,16.4502032189293
St Marys,-6.317139,49.917833,10.6773233086664
Stockholm,18.083,59.317,17.4242307177925
Stornoway,-6.388889,58.207722,9.0536754921448
Subic Bay,120.252,14.765,11.0289210259852
Suva,178.427,-18.132,11.4396465486242
Syowa,39.6,-69,-6.66487024436872
Talcahuano,-73.1061111111111,-36.7008333333333,25.4715659864225
Tanjong Pagar,103.853,1.262,29.148727488772
Tarawa,172.93,1.362,20.4136558489202
Tenerife,-16.24,28.48,6.05080514499867
Thevenard,133.64,-32.15,-14.063186086941
Thule,-68,76,7.09031052190589
Tofino,-125.917,49.15,27.6195341388982
Townsville,146.833,-19.25,18.0206145621884
Toyama,137.217,36.767,17.6267718879626
Tregde,7.567,58,12.2377406730371
Trieste,13.75793889,45.64939167,10.1925856152743
Valencia,-0.31,39.44,9.71980031969488
Valparaiso,-71.6277777777778,-33.0277777777778,18.5774190746108
Vardo,31.1,70.333,13.9773110061367
Venezia,12.42652778,45.41821944,10.2158041626115
Vigo,-8.73,42.24,17.6692273485985
Viker,10.949769,59.036046,16.6619922666839
Villagarcia,-8.77,42.6,21.9497037460733
Virginia Key,-80.162,25.732,25.9278781496595
Vung Tau,107.072,10.34,26.6965330511817
Wakkanai,141.683,45.4,11.2098856110733
Wellington,174.783,-41.283,10.3052749472866
Whitby,-0.614694,54.49,22.005308644333
Wick,-3.086389,58.440972,1.64991681170492
Yakutat,-139.735,59.547,16.8109621083146
Zanzibar,39.19,-6.155,13.4305123835428
