station,lon,lat,series_id,series_name
Aberdeen,-2.080222,57.144028,serie_1,Aberdeen
Brest,-4.5,48.383,serie_2,Brest
Calais,1.86772001,50.9693985,serie_3,Calais
Cuxhaven,8.717,53.867,serie_4,Cuxhaven
Maloy,5.117,61.933,serie_5,Maloy
