r,g,b
0,0.0117647058823529,0.549019607843137
0,0.140946621304972,0.610842402094938
0,0.27012853672759,0.672665196346738
0,0.452596402545693,0.754498897260053
0,0.635064268363795,0.836332598173369
0,0.817532134181898,0.918166299086684
0,1,1
1,1,1
0.889652731081764,0.991294936508363,0.874546802107522
0.779305462163527,0.982589873016727,0.749093604215044
0.668958193245291,0.97388480952509,0.623640406322566
0.558610924327055,0.965179746033454,0.498187208430087
0.448263655408818,0.956474682541817,0.372734010537609
0.337916386490582,0.947769619050181,0.247280812645131
0,1,0
0.587805261290616,0.807647901593193,0.358848576833568
0.557520612634629,0.774363377175287,0.316195256154588
0.527235963978641,0.741078852757381,0.273541935475608
0.496951315322654,0.707794328339475,0.230888614796627
0.466666666666667,0.674509803921569,0.188235294117647
0.933333333333333,0.941176470588235,0.545098039215686
0.966666666666667,0.970588235294118,0.272549019607843
1,1,0
1,0.833333333333333,0
1,0.666666666666667,0
1,0.5,0
1,0.333333333333333,0
1,0.166666666666667,0
1,0,0
0.9,0,0.85
