id,lat_req,lon_req,lat_near,lon_near,dist_km,depth,max_max,ti_max_max
1,37.807000000000002,-122.465,37.825706481933594,-122.68885803222656,19.773817475133669,26.526601791381836,0.41153975598828152,2010-01-21T23:00:00
2,21.306999999999999,-157.86699999999999,21.245670318603516,-157.75,13.909553190171266,337.6181640625,0.15604683975788958,1996-03-04T11:00:00
3,29.309999999999999,-94.793000000000006,29.27781867980957,-94.752906799316406,5.2841275835750858,10,2.5947361472316519,2008-09-13T09:00:00
4,32.713000000000001,-117.173,32.554775238037109,-117.24106597900391,18.712756766762258,46.232383728027344,0.31625706106046791,2010-01-21T19:00:00
5,8.9649999999999999,-79.572999999999993,8.7161855697631836,-79.5,28.806124667440383,29.058271408081055,0.21872819043139435,1993-08-05T19:00:00
6,48.424999999999997,-123.37,48.321872711181641,-123.42352294921875,12.12960035524795,144.72773742675781,0.76558030130625743,1995-12-12T20:00:00
7,43.656999999999996,-70.247,43.711769104003906,-70.114036560058594,12.304575482900431,10,0.98231475335902629,2010-02-26T04:00:00
8,39.354999999999997,-74.418000000000006,39.313201904296875,-74.391357421875,5.1818951086905871,12.739901542663574,1.853486178919973,2012-10-29T21:00:00
9,32.781999999999996,-79.924999999999997,32.61590576171875,-80.020271301269531,20.50786941238135,10,1.3264805629672134,2016-10-08T07:00:00
10,33.719999999999999,-118.27200000000001,33.734458923339844,-118.48533630371094,19.794711540706071,595.16180419921875,0.35126953654072296,2010-01-21T19:00:00
11,40.700000000000003,-74.015000000000001,40.5543212890625,-73.937423706054688,17.471731086158684,10,2.3901968844424917,2012-10-30T00:00:00
12,46.207999999999998,-123.767,46.250076293945312,-124.0963134765625,25.759954413921978,16.082639694213867,0.77009950799760807,1995-12-12T22:00:00
13,54.317,-130.32300000000001,54.270656585693359,-130.49296569824219,12.17457663439011,10,1.0144827099518039,1999-02-05T15:00:00
14,58,7.5670000000000002,58.033615112304688,7.7469682693481445,11.239292544190013,10,1.0213009988930732,2020-02-10T20:00:00
15,44.902999999999999,-66.984999999999999,44.983619689941406,-66.959358215332031,9.188869241441683,10,1.0385446188735088,1993-03-14T16:00:00
16,41.505000000000003,-71.326999999999998,41.315055847167969,-71.224334716796875,22.790252565108684,10,1.3325193012178347,2012-10-29T22:00:00
17,48.368000000000002,-124.617,48.378807067871094,-124.63566589355469,1.8289282649447602,10,0.69466934723897145,1995-12-12T19:00:00
18,38.781999999999996,-75.120000000000005,38.94195556640625,-75.128684997558594,17.802161028661775,10,1.5184567885011113,2012-10-29T20:00:00
19,34.226999999999997,-77.953000000000003,34.219959259033203,-77.785408020019531,15.428560979157014,10,2.2286169861612337,1996-09-06T01:00:00
20,41.744999999999997,-124.18300000000001,41.694259643554688,-124.33704376220703,13.97476695013288,78.22393798828125,0.47638352134975137,1995-12-12T14:00:00
21,57.052,-135.34200000000001,56.908592224121094,-135.34019470214844,15.946614334733399,10,0.84750990462921505,1999-02-05T20:00:00
22,27.760000000000002,-82.626999999999995,27.573015213012695,-82.752189636230469,24.17228620922846,10,1.6866388731430966,2024-09-27T01:00:00
23,26.059999999999999,-97.215000000000003,26.027168273925781,-97.000389099121094,21.749150878957163,28.964176177978516,0.46684844176815821,2010-06-30T21:00:00
24,28.216999999999999,-177.36699999999999,28.282377243041992,-177.24859619140625,13.687795999892678,1538.2373046875,0.24426442384719849,2011-01-14T06:00:00
25,-14.282999999999999,-170.68299999999999,-14.347655296325684,-170.75,10.188081631442945,212.12870788574219,0.2122473418712616,2018-02-09T19:00:00
26,20.899999999999999,-156.46700000000001,21.012491226196289,-156.5,12.969357663997352,369.30746459960938,0.155179539338481,1996-03-04T12:00:00
